"DESCRIPTION","NAME","OFFERID","PICTURE","PRICE","URL"
"Корд триммерный Opti Husqvarna 5976688-10 применяется при работе триммерами для кошения травы. Заправляется в триммерную","Леска для триммера Ø 2,0 мм х15 м Husqvarna (5976688-10)","37764859","https://www.enkor24.ru/u/images/products/84/84a8630e7857218741e9434fcc7169e5627450f8.jpg","292","https://www.enkor24.ru/product/108959-leska-dlya-trimmera-2-0-mm-x15-m-husqvarna-5976688-10"
"Корд триммерный Opti Quadra Husqvarna 5976689-02 применяется при работе триммерами для кошения густой травы. Заправляетс","Леска для триммера Ø 2,4х210м Husqvarna (5976689-02)","37764860","https://www.enkor24.ru/u/images/products/f3/f3fd471ff70b492a395f2f46d16d4b8df5183106.jpg","3369","https://www.enkor24.ru/product/108960-leska-dlya-trimmera-2-4x210m-husqvarna-5976689-02"
"Универсальная триммерная леска с пятиугольным профилем. Обеспечивает хорошую производительность резки и износостойкость ","Леска для триммера Ø2,7 мм x70 м Husqvarna (5976692-21)","37764861","https://www.enkor24.ru/u/images/products/3f/3fb083d7558917acaf042f0d524487a3dfcf0169.jpg","1910","https://www.enkor24.ru/product/108969-leska-dlya-trimmera-2-7-mm-x70-m-husqvarna-5976692-21"
"None","Леска для триммера Ø3,0 x15м Oregon (69-368-Y)","37764862","https://www.enkor24.ru/u/images/products/11/118b589f50685260eae9cfe619cc4ccd71767ff8.jpg","265","https://www.enkor24.ru/product/109055-leska-dlya-trimmera-3-0-x15m-oregon-69-368-y"
"None","Леска для триммера Ø3,0 x144м Oregon (69-421-Y)","37764863","https://www.enkor24.ru/u/images/products/5f/5fec290587821a77ebe7e6501d788fba96b8486c.jpg","2040","https://www.enkor24.ru/product/109056-leska-dlya-trimmera-3-0-x144m-oregon-69-421-y"
"Корд триммерный Opti Quadra Husqvarna 5976689-01 применяется при работе триммерами для кошения густой травы. Заправляетс","Леска для триммера Ø2,4х70м Opti Quadra Husqvarna (5976689-01)","37764864","https://www.enkor24.ru/u/images/products/f3/f3fd471ff70b492a395f2f46d16d4b8df5183106.jpg","1235","https://www.enkor24.ru/product/109341-leska-dlya-trimmera-2-4x70m-opti-quadra-husqvarna-5976689-01"
"Корд триммерный Opti Husqvarna 5976688-32 применяется при работе триммерами для кошения травы. Заправляется в триммерную","Леска для триммера Ø2,7ммx240м, Opti круг Husqvarna (5976688-32)","37764865","https://www.enkor24.ru/u/images/products/84/84a8630e7857218741e9434fcc7169e5627450f8.jpg","3600","https://www.enkor24.ru/product/109345-leska-dlya-trimmera-2-7mmx240m-opti-krug-husqvarna-5976688-32"
"None","Леска для триммера Ø3,0мм x9м Husqvarna Whisper Twist (5976691-40)","37764866","https://www.enkor24.ru/u/images/products/94/94fb20b79579cb011c9912714196fd3712e960fb.jpg","589","https://www.enkor24.ru/product/109644-leska-dlya-trimmera-3-0mm-x9m-husqvarna-whisper-twist-5976691-40"
"None","Леска S24100 Ø2,4мм 100м звезда HUTER (71/2/4)","37764867","https://www.enkor24.ru/u/images/products/25/259c4010516e839495268f2e84518778cfbaedfc.jpg","540","https://www.enkor24.ru/product/110603-leska-s24100-2-4mm-100m-zvezda-huter-71-2-4"
"None","Леска Yellow Round Round (2 мм; 127м) OREGON (69-358-Y)","37764868","https://www.enkor24.ru/u/images/products/f2/f204f2714c0e8e06ab23bcc392eed0e0573faead.jpg","775","https://www.enkor24.ru/product/110772-leska-yellow-round-round-2-mm-127m-oregon-69-358-y"
"None","Леска для триммера  Ø 2,4 x 15м Oregon (69-362-Y)","37764869","https://www.enkor24.ru/u/images/products/5d/5db54a34325051ad0fa709cf747e6571b298d842.jpg","242","https://www.enkor24.ru/product/110773-leska-dlya-trimmera-2-4-x-15m-oregon-69-362-y"
"Леска Starline PATRIOT 805201066 применяется при работе триммерами. Является режущим элементом и заправляется в триммерн","Леска Starline (3 мм; 15 м; звезда) PATRIOT (805201066)","37764870","https://www.enkor24.ru/u/images/products/ca/ca9e632e380aeb45e5621fd40497c1a0ba9b636d.jpg","201","https://www.enkor24.ru/product/110778-leska-starline-3-mm-15-m-zvezda-patriot-805201066"
