url_number,name,67159,67158,83024,9952,38229,83031,112286,83030,112287,72178,67709,96727,96726,87963,97776,104160,97771,83805,71710,75169,74895,108952,115260,9945,97772,97885,95340,75170,75439,9941,9960,51794,50119,82811,80764,97881,86458,111792,9902,66924,83801,97774,97889,85139,9906,9950,97883,83142,70204,75443,76039,50120,110981,104733
74895,Перфоратор Metabo UHEV 2860-2 Quick + патрон (600713500),17.46,17.46,33.33,26.98,29.37,29.37,28.57,29.37,37.3,23.02,24.6,21.43,15.87,19.84,21.43,28.57,26.98,37.3,34.92,38.89,80.16,26.19,38.1,29.37,28.57,26.19,17.46,39.68,28.57,29.37,27.78,40.48,33.33,37.3,38.89,26.19,26.98,31.75,38.89,30.95,35.71,35.71,29.37,40.48,42.06,34.92,32.54,37.3,21.43,31.75,44.44,31.75,28.57,35.71
108952,Перфоратор SDS+ Bosch GBH 220 3 режима professional (0 611 2A6 020),14.29,15.87,26.98,23.81,30.16,28.57,40.48,32.54,30.95,16.67,18.25,14.29,12.7,19.84,15.87,38.1,34.92,40.48,32.54,32.54,26.19,70.63,34.92,31.75,38.1,20.63,19.05,38.89,29.37,26.98,25.4,28.57,23.02,38.89,28.57,26.98,30.16,40.48,38.89,32.54,40.48,33.33,23.81,23.02,35.71,29.37,24.6,38.89,23.81,24.6,33.33,24.6,35.71,38.1
115260,Перфоратор Stanley + патрон SHR264K-RU,13.49,15.08,28.57,24.6,28.57,36.51,42.86,28.57,41.27,12.7,15.08,15.08,9.52,15.08,19.05,48.41,38.89,49.21,26.98,32.54,38.1,34.92,74.6,26.19,50.79,21.43,19.05,42.86,35.71,19.84,19.84,32.54,25.4,39.68,30.95,41.27,44.44,36.51,50.79,21.43,45.24,43.65,34.13,25.4,50.79,29.37,31.75,44.44,22.22,29.37,34.13,23.81,30.16,51.59
9945,Перфоратор Makita HR2470,15.87,14.29,23.81,23.81,27.78,23.81,31.75,27.78,30.16,19.84,19.84,15.87,14.29,16.67,14.29,27.78,26.19,34.92,26.19,26.98,29.37,31.75,26.19,60.32,27.78,20.63,26.19,33.33,29.37,32.54,32.54,38.89,24.6,41.27,35.71,26.98,26.19,52.38,38.89,50.79,38.89,24.6,22.22,26.98,37.3,26.98,23.02,41.27,32.54,26.19,37.3,26.19,25.4,37.3
97772,Перфоратор PATRIOT RH 265Q (140301330) ,13.49,15.08,33.33,27.78,31.75,42.86,47.62,34.92,42.86,12.7,16.67,15.08,9.52,16.67,19.05,52.38,48.41,50.79,25.4,26.98,28.57,38.1,50.79,27.78,72.22,24.6,19.05,37.3,35.71,21.43,21.43,34.13,23.81,38.89,32.54,46.83,40.48,41.27,48.41,23.02,46.83,47.62,42.86,21.43,45.24,27.78,30.95,38.89,22.22,30.95,31.75,25.4,31.75,47.62
97885,Перфоратор PATRIOT RH 360 (140301368) ,22.22,20.63,34.92,27.78,27.78,36.51,23.02,30.95,31.75,20.63,24.6,28.57,23.02,24.6,24.6,26.98,25.4,26.19,22.22,23.81,26.19,20.63,21.43,20.63,24.6,73.02,14.29,27.78,24.6,30.95,25.4,30.95,23.81,24.6,30.95,27.78,17.46,24.6,26.19,25.4,26.19,27.78,31.75,17.46,23.02,23.81,37.3,24.6,12.7,31.75,29.37,25.4,26.98,24.6
95340,Перфоратор SDS+ VMX VRH-24/650E (VM510154),9.52,7.94,17.46,19.05,20.63,17.46,34.13,21.43,17.46,11.11,11.11,9.52,7.94,7.94,7.94,17.46,17.46,22.22,15.87,17.46,17.46,19.05,19.05,26.19,19.05,14.29,46.83,20.63,20.63,14.29,14.29,15.87,14.29,24.6,15.87,22.22,22.22,23.02,22.22,19.84,26.19,15.87,19.05,17.46,20.63,14.29,14.29,26.19,17.46,15.87,19.05,14.29,14.29,20.63
75170,Перфоратор BOSCH GBH 2-28 Professional (0 611 267 500),17.46,15.87,36.51,27.78,31.75,32.54,37.3,32.54,31.75,18.25,22.22,21.43,15.87,22.22,19.84,38.89,35.71,50.0,39.68,61.11,39.68,38.89,42.86,33.33,37.3,27.78,20.63,79.37,34.92,31.75,26.98,38.1,26.19,50.0,38.1,32.54,31.75,37.3,54.76,31.75,48.41,41.27,27.78,38.89,53.17,41.27,35.71,48.41,25.4,30.16,53.17,27.78,34.13,44.44
75439,Перфоратор Stanley STHR202K-RU,18.25,16.67,30.16,23.81,27.78,30.16,35.71,30.16,34.13,17.46,21.43,19.84,14.29,18.25,20.63,31.75,38.89,36.51,23.02,24.6,28.57,29.37,35.71,29.37,35.71,24.6,20.63,34.92,69.05,23.02,23.02,30.16,21.43,34.92,33.33,34.92,31.75,33.33,38.1,24.6,36.51,32.54,27.78,21.43,33.33,21.43,30.95,34.92,19.84,34.13,33.33,23.02,26.19,34.92
9941,Перфоратор BOSCH GBH 4-32 DFR Professional (0 611 332 100),22.22,20.63,26.98,23.81,27.78,26.98,21.43,26.98,26.19,23.02,24.6,22.22,20.63,23.02,22.22,23.02,19.84,28.57,33.33,31.75,29.37,26.98,19.84,32.54,21.43,30.95,14.29,31.75,23.02,67.46,39.68,37.3,34.92,28.57,35.71,20.63,19.84,29.37,30.16,37.3,28.57,28.57,22.22,26.98,30.16,38.1,33.33,28.57,24.6,31.75,35.71,36.51,39.68,30.95
9960,Перфоратор Makita HR3200C,22.22,20.63,27.78,23.81,27.78,23.81,21.43,23.81,26.19,26.19,26.19,22.22,20.63,23.02,20.63,21.43,19.84,28.57,26.19,26.98,27.78,25.4,19.84,32.54,21.43,25.4,14.29,26.98,23.02,39.68,64.29,37.3,31.75,26.98,35.71,20.63,19.84,29.37,28.57,34.13,28.57,24.6,22.22,26.98,26.98,30.16,33.33,26.98,23.02,31.75,35.71,33.33,32.54,30.95
51794,Перфоратор Makita HR2810,20.63,24.6,34.92,26.98,30.95,34.92,30.16,30.95,34.92,24.6,28.57,24.6,19.05,25.4,23.02,34.13,28.57,39.68,33.33,34.13,40.48,28.57,32.54,38.89,34.13,30.95,15.87,38.1,30.16,37.3,37.3,79.37,33.33,34.13,61.9,33.33,26.98,42.86,41.27,40.48,39.68,33.33,33.33,34.13,39.68,39.68,33.33,34.13,30.16,34.92,50.0,34.92,31.75,47.62
50119,Перфоратор Metabo KHE 3251(600659000),20.63,19.05,25.4,22.22,26.19,33.33,19.84,25.4,28.57,19.05,19.05,20.63,19.05,19.05,19.05,25.4,18.25,30.16,30.95,29.37,33.33,23.02,25.4,24.6,23.81,23.81,14.29,26.19,21.43,34.92,31.75,33.33,56.35,23.02,31.75,23.02,25.4,21.43,28.57,29.37,28.57,23.02,26.19,24.6,30.16,40.48,31.75,26.19,18.25,30.16,27.78,53.17,31.75,26.98
82811,Перфоратор BOSCH GBH 240 Professional (0 611 272 100),14.29,12.7,29.37,26.98,31.75,29.37,42.86,33.33,39.68,18.25,22.22,18.25,12.7,19.05,16.67,37.3,37.3,50.0,30.16,39.68,37.3,38.89,39.68,41.27,38.89,24.6,24.6,50.0,34.92,28.57,26.98,34.13,23.02,79.37,34.13,32.54,31.75,46.83,55.56,36.51,52.38,39.68,27.78,30.16,53.97,30.95,32.54,63.49,23.81,30.16,41.27,24.6,30.95,42.86
80764,Перфоратор Makita HR2800,22.22,24.6,34.92,25.4,29.37,34.92,28.57,30.95,33.33,26.19,30.16,26.19,20.63,26.98,24.6,32.54,30.16,39.68,30.16,34.13,38.89,28.57,30.95,35.71,32.54,30.95,15.87,38.1,33.33,35.71,35.71,61.9,31.75,34.13,73.02,31.75,26.98,39.68,39.68,37.3,39.68,31.75,33.33,32.54,36.51,38.1,33.33,34.13,28.57,33.33,48.41,33.33,31.75,46.03
97881,Перфоратор PATRIOT RH260 (140301322) ,16.67,15.08,31.75,29.37,25.4,39.68,33.33,31.75,40.48,15.87,19.84,18.25,12.7,16.67,19.05,41.27,32.54,46.03,22.22,22.22,26.19,26.98,41.27,26.98,46.83,27.78,22.22,32.54,34.92,20.63,20.63,33.33,23.02,32.54,31.75,64.29,35.71,30.95,42.06,22.22,42.06,31.75,42.86,19.05,38.89,23.02,30.16,32.54,24.6,30.16,30.95,24.6,22.22,42.06
86458,Перфоратор Stanley SHR263K-RU,11.9,10.32,23.02,24.6,30.16,30.95,32.54,23.02,30.95,11.11,11.11,9.52,7.94,7.94,10.32,36.51,28.57,42.86,25.4,26.98,26.98,30.16,44.44,26.19,40.48,17.46,22.22,31.75,31.75,19.84,19.84,26.98,25.4,31.75,26.98,35.71,57.14,26.19,41.27,21.43,37.3,29.37,30.16,21.43,39.68,27.78,23.81,33.33,25.4,26.98,26.19,25.4,25.4,35.71
111792,Перфоратор SDS+ Makita HR2470X20 + набор буров ,12.7,14.29,29.37,22.22,26.19,30.95,49.21,37.3,40.48,16.67,20.63,16.67,11.11,20.63,18.25,38.1,39.68,38.89,26.98,26.98,31.75,40.48,36.51,52.38,41.27,24.6,23.02,37.3,33.33,29.37,29.37,42.86,21.43,46.83,39.68,30.95,26.19,79.37,44.44,50.0,44.44,38.1,26.19,28.57,41.27,23.81,26.98,46.83,27.78,28.57,42.86,23.02,30.16,47.62
