url_number,name,111168,101511,112939,98654,95051,95440,108809,108996,110169,111167,113605,114647,98539,104378,114524,100320,91376,96484,112243,66369,91375,51650,52683,76126,86192,86194,100321,93774,88237,55963,93925,104427,104659,95896,86321,86322,109989,3989,3990,86193,95912,105460,4004,59094,110979
100321,Ударный пневмогайковерт PATRIOT PN 610 (830902042) ,9.57,9.57,6.38,6.38,4.26,4.26,4.26,9.57,4.26,6.38,4.26,4.26,4.26,7.45,6.38,28.72,22.34,18.09,22.34,19.15,24.47,17.02,18.09,21.28,19.15,20.21,39.36,20.21,24.47,24.47,21.28,19.15,13.83,15.96,26.6,18.09,17.02,19.15,22.34,22.34,18.09,26.6,8.51,11.7,7.45
93774,"Ударный гайковёрт Remeza R-1200 1/2"" (УТ-00000401)",11.7,9.57,8.51,8.51,2.13,4.26,8.51,11.7,8.51,8.51,4.26,4.26,6.38,9.57,8.51,20.21,20.21,15.96,20.21,19.15,20.21,19.15,20.21,17.02,19.15,22.34,20.21,41.49,20.21,22.34,17.02,17.02,15.96,13.83,20.21,18.09,19.15,17.02,20.21,22.34,15.96,20.21,10.64,13.83,9.57
88237,Ударный пневмогайковерт Fubag IW580 (100190),11.7,9.57,6.38,6.38,4.26,4.26,4.26,9.57,4.26,6.38,4.26,4.26,4.26,7.45,6.38,24.47,28.72,20.21,28.72,17.02,28.72,19.15,18.09,28.72,19.15,22.34,24.47,20.21,41.49,22.34,23.4,23.4,13.83,15.96,24.47,18.09,19.15,17.02,20.21,22.34,18.09,22.34,8.51,11.7,9.57
55963,Ударный пневмогайковерт Sumake ST 55444,11.7,9.57,8.51,8.51,2.13,4.26,6.38,11.7,6.38,8.51,4.26,4.26,8.51,9.57,8.51,22.34,23.4,15.96,23.4,23.4,22.34,21.28,22.34,19.15,23.4,22.34,24.47,22.34,22.34,41.49,19.15,17.02,15.96,13.83,24.47,15.96,21.28,25.53,28.72,24.47,15.96,22.34,10.64,13.83,9.57
93925,Пневмогайковерт FUBAG PWS158/312 (100102) ,6.38,6.38,9.57,9.57,7.45,4.26,7.45,6.38,7.45,9.57,7.45,7.45,7.45,4.26,9.57,26.6,21.28,17.02,21.28,17.02,31.91,22.34,14.89,26.6,25.53,17.02,21.28,17.02,23.4,19.15,41.49,24.47,10.64,12.77,21.28,14.89,20.21,23.4,20.21,22.34,14.89,22.34,11.7,8.51,4.26
104427,"Гайковерт пневматический Fubag IW 900 1/2"" с набором головок (100195)",6.38,6.38,9.57,9.57,7.45,4.26,7.45,6.38,7.45,9.57,7.45,7.45,7.45,4.26,9.57,19.15,25.53,17.02,25.53,19.15,21.28,22.34,14.89,24.47,20.21,19.15,19.15,17.02,23.4,17.02,24.47,39.36,10.64,12.77,22.34,14.89,24.47,18.09,14.89,17.02,17.02,21.28,11.7,8.51,4.26
104659,Гайковерт пневматический Sumake ST-55885Р (38591),9.57,7.45,6.38,6.38,2.13,4.26,6.38,9.57,6.38,6.38,4.26,2.13,6.38,9.57,6.38,13.83,13.83,15.96,13.83,12.77,13.83,12.77,13.83,10.64,12.77,15.96,13.83,15.96,13.83,15.96,10.64,10.64,37.23,18.09,13.83,13.83,12.77,14.89,18.09,18.09,13.83,13.83,6.38,9.57,7.45
95896,"Ударный пневмогайковерт FUBAG IWM 2500 1"" (100275)",7.45,7.45,4.26,4.26,4.26,4.26,4.26,7.45,4.26,4.26,4.26,2.13,4.26,7.45,4.26,15.96,15.96,18.09,15.96,10.64,15.96,10.64,11.7,12.77,10.64,13.83,15.96,13.83,15.96,13.83,12.77,12.77,18.09,39.36,15.96,18.09,10.64,12.77,15.96,13.83,15.96,15.96,4.26,7.45,5.32
86321,Ударный пневмогайковерт Fubag IWC 900 (100194),9.57,9.57,6.38,6.38,4.26,4.26,4.26,9.57,4.26,6.38,4.26,4.26,4.26,7.45,6.38,24.47,24.47,18.09,24.47,21.28,24.47,19.15,20.21,21.28,19.15,22.34,26.6,20.21,24.47,24.47,21.28,22.34,13.83,15.96,37.23,18.09,17.02,19.15,22.34,22.34,18.09,24.47,8.51,11.7,7.45
86322,Ударный пневмогайковерт Fubag IWC 1600 (100198),7.45,7.45,4.26,4.26,4.26,4.26,6.38,7.45,6.38,4.26,4.26,4.26,4.26,7.45,4.26,18.09,18.09,15.96,18.09,12.77,18.09,12.77,13.83,14.89,12.77,15.96,18.09,18.09,18.09,15.96,14.89,14.89,13.83,18.09,18.09,37.23,12.77,10.64,13.83,15.96,18.09,18.09,4.26,7.45,5.32
109989,Пневматический ударный гайковерт с комплектом головок (23 предмета) KING TONY (44118MP08),8.51,6.38,11.7,11.7,5.32,4.26,9.57,8.51,9.57,11.7,7.45,7.45,9.57,6.38,11.7,17.02,21.28,12.77,21.28,23.4,17.02,26.6,19.15,20.21,24.47,21.28,17.02,19.15,19.15,21.28,20.21,24.47,12.77,10.64,17.02,12.77,41.49,22.34,19.15,19.15,12.77,19.15,13.83,10.64,6.38
3989,Пневматический гайковерт Sumake ST 5540 К,8.51,6.38,11.7,11.7,5.32,4.26,9.57,8.51,9.57,11.7,7.45,7.45,9.57,6.38,11.7,19.15,14.89,12.77,14.89,21.28,20.21,22.34,17.02,20.21,27.66,17.02,19.15,17.02,17.02,25.53,23.4,18.09,14.89,12.77,19.15,10.64,22.34,41.49,38.3,22.34,12.77,20.21,13.83,10.64,6.38
3990,Пневматический гайковерт Sumake ST 5540,11.7,9.57,8.51,8.51,2.13,4.26,6.38,11.7,6.38,8.51,4.26,4.26,6.38,9.57,8.51,22.34,18.09,15.96,18.09,21.28,23.4,19.15,20.21,17.02,24.47,20.21,22.34,20.21,20.21,28.72,20.21,14.89,18.09,15.96,22.34,13.83,19.15,38.3,41.49,25.53,15.96,23.4,10.64,13.83,9.57
86193,Гайковерт пневматический 1/2 Garage GR-IW- 315 ,11.7,9.57,8.51,8.51,2.13,4.26,6.38,11.7,6.38,8.51,4.26,4.26,6.38,9.57,8.51,22.34,20.21,15.96,20.21,19.15,25.53,19.15,20.21,19.15,34.04,22.34,22.34,22.34,22.34,24.47,22.34,17.02,18.09,13.83,22.34,15.96,19.15,22.34,25.53,41.49,15.96,23.4,10.64,13.83,9.57
95912,"Ударный пневмогайковерт FUBAG IWM 3/4"" (100235)",7.45,7.45,4.26,4.26,4.26,4.26,6.38,7.45,9.57,4.26,4.26,6.38,4.26,7.45,6.38,18.09,18.09,22.34,18.09,12.77,18.09,12.77,13.83,14.89,12.77,15.96,18.09,15.96,18.09,15.96,14.89,17.02,13.83,15.96,18.09,18.09,12.77,12.77,15.96,15.96,39.36,18.09,6.38,9.57,7.45
105460,Гайковерт пневматический Patriot PN1000 (830902044),9.57,9.57,6.38,6.38,4.26,4.26,4.26,9.57,4.26,6.38,4.26,4.26,4.26,7.45,6.38,24.47,24.47,18.09,24.47,21.28,25.53,17.02,18.09,19.15,20.21,22.34,26.6,20.21,22.34,22.34,22.34,21.28,13.83,15.96,24.47,18.09,19.15,20.21,23.4,23.4,18.09,41.49,8.51,11.7,7.45
4004,Ударный гайковерт Makita TW0350 ,10.64,8.51,11.7,15.96,5.32,4.26,12.77,10.64,9.57,15.96,7.45,9.57,11.7,8.51,13.83,8.51,8.51,6.38,8.51,10.64,8.51,13.83,10.64,11.7,13.83,10.64,8.51,10.64,8.51,10.64,11.7,11.7,6.38,4.26,8.51,4.26,13.83,13.83,10.64,10.64,6.38,8.51,59.57,27.66,19.15
59094,Электрический гайковерт (ударный) Metabo SSW 650 602204000,13.83,14.89,10.64,12.77,2.13,4.26,6.38,13.83,6.38,12.77,4.26,6.38,8.51,11.7,10.64,11.7,11.7,9.57,11.7,10.64,11.7,10.64,13.83,8.51,10.64,13.83,11.7,13.83,11.7,13.83,8.51,8.51,9.57,7.45,11.7,7.45,10.64,10.64,13.83,13.83,9.57,11.7,27.66,59.57,22.34
110979,Винтоверт ударный Elitech ВУ 250РЭ,7.45,5.32,4.26,6.38,6.38,6.38,4.26,7.45,4.26,6.38,2.13,4.26,13.83,17.02,6.38,7.45,7.45,7.45,7.45,6.38,9.57,6.38,9.57,4.26,6.38,9.57,7.45,9.57,9.57,9.57,4.26,4.26,7.45,5.32,7.45,5.32,6.38,6.38,9.57,9.57,7.45,7.45,19.15,22.34,59.57
