url_number,name,82937,4356,113921,115400,115401,97759,4338,58226,70028,4364,59245,97867,100326,33387,58702,97866,88508,4362,101125,86993,75448,114646,93873,68084,56858,54938,54939,76491,76490,104829,95049,108046,113893,83116,74904,97731,113952,76785,101087,113953,72529,75432,104501,97728,101507,108997,113923,75433,97012,98239,95295,7408,92737,86171,87137,112384,75901,75444,75445,100286,100395,87127,86167,7422,53017,48057,55586,97868,103332,86168,111894,112051,57923,69684,105089,97869
86993,Пневмодрель FUBAG DR142/1800 100115 ,1.06,6.38,1.06,1.06,0.0,2.13,6.38,6.38,6.38,6.38,5.32,4.26,5.32,4.26,6.38,3.19,1.06,6.38,6.38,10.64,4.26,1.06,0.0,0.0,0.0,2.13,1.06,2.13,2.13,3.19,2.13,2.13,3.19,2.13,2.13,2.13,3.19,2.13,2.13,3.19,2.13,2.13,2.13,2.13,1.06,3.19,3.19,2.13,3.19,2.13,3.19,3.19,1.06,2.13,3.19,2.13,3.19,2.13,1.06,2.13,1.06,3.19,0.0,2.13,1.06,1.06,3.19,2.13,0.0,1.06,3.19,2.13,1.06,1.06,2.13,2.13
75448,Дрель безударная Stanley STDR5510C-RU,9.04,17.02,6.38,4.26,10.11,6.91,18.09,18.09,13.83,22.87,6.38,18.62,9.04,6.38,15.43,18.09,13.83,17.02,14.36,4.26,39.36,10.64,3.19,3.19,1.06,11.7,10.64,15.43,14.36,9.04,9.04,6.38,6.38,5.32,5.32,5.32,6.38,8.51,7.98,6.38,6.38,10.11,5.32,7.98,4.26,7.45,5.32,10.11,12.77,6.38,10.11,11.7,8.51,6.38,12.23,12.77,16.49,13.3,12.23,11.7,8.51,13.83,7.45,16.49,10.64,7.45,10.64,15.96,9.57,6.38,12.77,15.43,11.7,10.64,9.57,15.96
114646,Дрель Hikoki D13VGNSZ,7.45,8.51,6.38,7.45,14.36,4.26,9.57,12.23,9.57,11.17,3.19,9.57,4.26,3.19,10.64,13.3,14.36,9.57,8.51,1.06,10.64,35.11,5.32,5.32,1.06,14.36,13.3,15.43,18.09,6.38,10.11,10.11,5.32,11.7,11.7,11.7,5.32,12.23,5.32,5.32,11.7,12.77,10.11,7.45,12.77,6.38,5.32,12.77,5.32,10.11,6.38,12.77,11.7,10.11,12.23,17.55,14.36,13.3,12.23,18.09,11.7,11.17,13.3,16.49,14.36,11.17,17.02,17.55,5.32,9.57,16.49,17.55,20.21,17.55,13.3,19.15
93873,Сверлильная машина Diam ML-102/2Н (620067) ,6.38,4.26,6.91,5.32,6.38,5.32,5.85,4.26,4.79,4.26,1.06,4.26,2.13,1.06,5.85,4.26,6.91,5.85,5.85,0.0,3.19,5.32,25.53,10.11,2.66,5.32,5.32,5.32,5.32,3.72,2.13,2.13,2.13,2.13,2.13,2.13,3.72,3.72,2.13,3.72,2.13,2.13,3.72,2.13,2.13,3.72,3.72,2.13,2.13,3.72,3.72,6.91,5.32,4.26,4.26,5.85,6.91,4.26,5.32,4.26,6.91,3.19,5.32,6.91,7.98,7.98,5.85,4.26,1.06,5.32,5.85,5.85,7.98,6.91,5.85,4.26
68084,Дрель для алмазного бурения BOSCH GDB 180 WE Professional (0 601 189 800),5.32,4.26,6.91,4.26,5.32,4.26,5.85,4.26,5.85,4.26,1.06,4.26,2.13,1.06,6.91,4.26,7.98,6.91,5.85,0.0,3.19,5.32,10.11,26.6,3.72,5.32,6.38,5.32,5.32,4.79,2.13,2.13,2.13,2.13,2.13,2.13,3.72,3.72,2.13,3.72,2.13,2.13,4.79,2.13,2.13,4.79,3.72,2.13,2.13,4.79,4.79,6.91,5.32,4.26,4.26,6.91,7.98,4.26,5.32,4.26,7.98,3.19,5.32,7.98,9.04,7.98,5.85,5.32,2.13,7.45,6.91,6.91,7.98,6.91,6.91,4.26
56858,Дрель на магнитной подошве Metabo MAG 32 (600635500) ,1.06,1.06,5.32,1.06,1.06,1.06,2.66,1.06,3.72,1.06,0.0,1.06,0.0,0.0,3.72,1.06,3.72,3.72,2.66,0.0,1.06,1.06,2.66,3.72,25.0,1.06,1.06,1.06,1.06,2.66,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.0,1.6,0.0,0.0,2.66,0.0,0.0,2.66,1.6,0.0,0.0,2.66,2.66,2.66,1.06,1.06,1.06,3.72,2.66,1.06,1.06,1.06,3.72,1.06,1.06,2.66,3.72,2.66,1.6,1.06,1.06,1.06,3.72,3.72,2.66,2.66,3.72,1.06
54938,Ударная дрель Энкор ДУЭ-900ЭР/13М (50082),11.17,12.77,8.51,5.32,11.17,5.32,10.64,10.64,10.64,10.64,5.32,10.64,4.26,5.32,10.64,11.7,16.49,10.64,9.57,2.13,11.7,14.36,5.32,5.32,1.06,35.64,23.4,23.94,23.94,5.32,10.11,11.17,6.91,10.11,10.11,12.77,7.98,11.17,5.32,7.98,13.83,11.17,10.11,8.51,10.11,6.38,6.91,11.17,5.32,11.17,6.38,20.74,13.83,13.3,15.43,20.21,18.62,17.55,16.49,19.68,12.77,14.36,13.3,21.81,19.68,17.55,23.4,18.62,5.32,8.51,19.15,18.62,24.47,14.89,16.49,19.68
54939,Ударная дрель Энкор ДУЭ-2 1150ЭР/13М (50092),12.23,10.64,8.51,5.32,12.23,5.32,8.51,9.57,8.51,9.57,4.26,8.51,3.19,4.26,9.57,9.57,17.55,8.51,9.57,1.06,10.64,13.3,5.32,6.38,1.06,23.4,36.7,19.68,19.68,4.26,7.98,9.04,5.85,7.98,7.98,10.64,6.91,11.17,4.26,6.91,11.7,9.04,7.98,6.38,7.98,5.32,5.85,9.04,4.26,9.04,5.32,17.55,10.64,13.3,13.3,19.15,17.55,15.43,14.36,15.43,11.7,13.3,15.43,19.68,18.62,16.49,20.21,16.49,7.45,11.7,18.09,16.49,21.28,11.7,15.43,15.43
76491,Ударная дрель Энкор ДУЭ-750ЭР/13М (50081),8.51,13.83,8.51,5.32,13.83,5.32,13.3,13.3,10.64,14.36,5.32,14.36,4.26,5.32,10.64,13.83,17.55,13.3,9.57,2.13,15.43,15.43,5.32,5.32,1.06,23.94,19.68,34.57,28.72,5.32,11.17,11.17,4.26,11.17,11.17,10.11,5.32,12.23,5.32,5.32,12.23,12.23,11.17,8.51,10.11,6.38,4.26,12.23,5.32,11.17,6.38,17.02,12.77,12.23,15.43,17.55,21.28,17.55,16.49,18.62,12.77,18.09,13.3,23.94,16.49,15.43,17.55,22.34,7.98,8.51,16.49,22.34,18.62,14.89,16.49,23.4
76490,Ударная дрель Энкор ДУЭ-710ЭР/13М (50079),8.51,12.77,8.51,5.32,13.83,5.32,14.36,15.43,11.7,13.3,5.32,13.3,4.26,5.32,11.7,11.7,16.49,14.36,10.64,2.13,14.36,18.09,5.32,5.32,1.06,23.94,19.68,28.72,34.57,6.38,12.23,12.23,5.32,12.23,12.23,11.17,6.38,13.3,6.38,6.38,13.3,13.3,12.23,9.57,11.17,8.51,5.32,13.3,6.38,12.23,7.45,18.09,12.77,13.3,16.49,18.62,20.21,18.62,15.43,19.68,12.77,19.15,14.36,22.34,16.49,15.43,21.28,21.28,7.98,9.57,17.55,23.4,22.34,18.62,16.49,26.06
104829,Аккумуляторный бесщеточный ударный шуруповерт Bosch  GSB 12V-30 Professional (0 601 9G9 120),4.26,12.77,3.72,1.06,4.26,2.13,14.89,12.23,14.36,11.17,6.38,9.04,7.98,4.26,17.55,10.64,9.04,15.96,14.89,3.19,9.04,6.38,3.72,4.79,2.66,5.32,4.26,5.32,6.38,54.79,22.34,17.02,19.15,22.34,24.47,24.47,21.81,22.87,22.34,20.74,22.34,20.21,28.19,20.21,22.34,32.45,20.74,24.47,28.72,28.19,30.85,11.17,9.57,8.51,6.38,11.17,10.11,5.32,3.19,6.38,10.11,6.38,8.51,10.11,12.23,11.17,11.17,5.32,4.79,9.57,12.23,11.17,11.17,11.17,11.17,5.32
